,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,vigia,90,BR,2020-04-18 01:58:13+00:00,94,77.0,-0.86,-48.14,1.12
1,punta arenas,14,CL,2020-04-18 01:55:10+00:00,66,48.2,-53.15,-70.92,11.41
2,kodiak,90,US,2020-04-18 01:58:13+00:00,76,51.8,57.79,-152.41,10.29
3,chumikan,97,RU,2020-04-18 01:58:13+00:00,85,29.53,54.72,135.31,5.61
4,rikitea,1,PF,2020-04-18 01:54:40+00:00,63,77.36,-23.12,-134.97,1.99
5,tiksi,100,RU,2020-04-18 01:53:20+00:00,93,9.32,71.69,128.87,6.04
6,gwanda,84,ZW,2020-04-18 01:58:14+00:00,62,66.97,-20.93,29.0,11.97
7,ushuaia,40,AR,2020-04-18 01:57:41+00:00,40,51.8,-54.8,-68.3,19.46
8,aleksandrov gay,67,RU,2020-04-18 01:58:14+00:00,71,43.27,50.15,48.57,9.6
9,bowen,40,AU,2020-04-18 01:58:14+00:00,62,87.01,-20.02,148.23,4.7
10,deputatskiy,9,RU,2020-04-18 01:58:14+00:00,82,-2.02,69.3,139.9,3.06
11,bathsheba,40,BB,2020-04-18 01:58:14+00:00,74,80.6,13.22,-59.52,14.99
12,arraial do cabo,73,BR,2020-04-18 01:58:14+00:00,70,73.8,-22.97,-42.03,10.36
13,yellowknife,75,CA,2020-04-18 01:58:14+00:00,58,28.0,62.46,-114.35,9.17
14,kapustin yar,96,RU,2020-04-18 01:58:15+00:00,72,46.53,48.58,45.74,4.61
15,husavik,0,IS,2020-04-18 01:53:43+00:00,73,46.4,66.04,-17.34,23.04
16,ust-kuyga,4,RU,2020-04-18 01:58:15+00:00,85,2.03,70.02,135.6,5.86
17,ostrovnoy,100,RU,2020-04-18 01:58:15+00:00,98,31.59,68.05,39.51,12.8
18,albany,100,US,2020-04-18 01:57:19+00:00,74,41.0,42.6,-73.97,3.87
19,yining,96,CN,2020-04-18 01:58:16+00:00,76,63.07,29.04,114.56,3.85
20,lompoc,90,US,2020-04-18 01:58:16+00:00,76,57.2,34.64,-120.46,6.93
21,saint-louis,39,SN,2020-04-18 01:58:16+00:00,54,69.06,16.33,-15.0,19.13
22,nolinsk,100,RU,2020-04-18 01:58:17+00:00,88,34.86,57.56,49.94,11.36
23,bluff,47,NZ,2020-04-18 01:58:17+00:00,64,57.99,-46.6,168.33,11.01
24,vaini,20,TO,2020-04-18 01:54:39+00:00,69,82.4,-21.2,-175.2,10.29
25,port hardy,40,CA,2020-04-18 01:58:17+00:00,71,53.6,50.7,-127.42,13.87
26,leshukonskoye,100,RU,2020-04-18 01:58:17+00:00,93,32.76,64.9,45.76,6.31
27,hermanus,84,ZA,2020-04-18 01:58:17+00:00,83,57.0,-34.42,19.23,5.01
28,butaritari,82,KI,2020-04-18 01:58:08+00:00,80,82.33,3.07,172.79,14.81
29,matara,93,LK,2020-04-18 01:58:17+00:00,75,84.11,5.95,80.54,6.64
30,lumding,61,IN,2020-04-18 01:58:18+00:00,45,85.06,25.75,93.17,1.68
31,saint-philippe,75,RE,2020-04-18 01:58:18+00:00,78,75.2,-21.36,55.77,11.41
32,jamestown,90,US,2020-04-18 01:58:18+00:00,100,32.0,42.1,-79.24,3.36
33,dikson,91,RU,2020-04-18 01:54:49+00:00,97,25.12,73.51,80.55,14.9
34,kaitangata,96,NZ,2020-04-18 01:58:18+00:00,82,53.01,-46.28,169.85,15.99
35,iqaluit,75,CA,2020-04-18 01:53:41+00:00,84,6.8,63.75,-68.51,2.24
36,katangli,99,RU,2020-04-18 01:58:19+00:00,97,30.56,51.71,143.23,14.2
37,fairbanks,75,US,2020-04-18 01:55:32+00:00,65,46.99,64.84,-147.72,2.42
38,mataura,35,NZ,2020-04-18 01:58:19+00:00,64,57.99,-46.19,168.86,11.01
39,ugoofaaru,97,MV,2020-04-18 01:58:19+00:00,74,85.51,5.67,73.0,11.86
40,carauari,95,BR,2020-04-18 01:58:19+00:00,94,73.38,-4.88,-66.9,2.01
41,rio branco,40,BR,2020-04-18 01:58:19+00:00,100,69.8,-9.97,-67.81,2.24
42,mahebourg,40,MU,2020-04-18 01:58:19+00:00,78,75.2,-20.41,57.7,3.36
43,puerto ayora,82,EC,2020-04-18 01:58:19+00:00,92,77.0,-0.74,-90.35,6.33
44,port elizabeth,57,ZA,2020-04-18 01:58:19+00:00,88,62.6,-33.92,25.57,5.82
45,mazatlan,20,MX,2020-04-18 01:56:07+00:00,73,75.2,23.22,-106.42,6.93
46,mossendjo,100,CG,2020-04-18 01:58:20+00:00,87,70.48,-2.95,12.73,1.28
47,port alfred,55,ZA,2020-04-18 01:58:20+00:00,94,64.0,-33.59,26.89,4.0
48,chicama,18,PE,2020-04-18 01:58:20+00:00,70,74.14,-7.84,-79.15,6.2
49,la romana,0,DO,2020-04-18 01:58:20+00:00,85,73.8,18.43,-68.97,9.42
50,dingle,39,PH,2020-04-18 01:58:20+00:00,58,89.1,11.0,122.67,13.56
51,mount isa,9,AU,2020-04-18 01:58:20+00:00,20,93.2,-20.73,139.5,8.05
52,portland,75,US,2020-04-18 01:58:21+00:00,8,75.2,45.52,-122.68,5.82
53,copiapo,0,CL,2020-04-18 01:58:21+00:00,87,59.0,-27.37,-70.33,3.36
54,tuatapere,34,NZ,2020-04-18 01:58:21+00:00,64,57.99,-46.13,167.68,11.01
55,namatanai,98,PG,2020-04-18 01:58:16+00:00,73,83.17,-3.67,152.43,7.63
